     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
    207710,     10168,         0,   573.0,internal_correlated,7c56843b61fc542733a193e897e9e8f5cd33a5d48f53554cb96228e1e0990cbe,"{""b"":""X"",""c"":""chao"",""d"":11,""p"":0.002,""q"":361,""r"":33}"
     20494,     10052,         0,   174.4,internal_correlated,d56309bd228e567e503901ba6abc503c8a21cced373aabd40adf442a96b6740c,"{""b"":""X"",""c"":""chao"",""d"":11,""p"":0.004,""q"":361,""r"":33}"
  20636748,     10162,         0, 12865.0,internal_correlated,28b4529f3a62b562ce6e5ad31d1ec32d19896653e66e6537033097f7d8abb450,"{""b"":""X"",""c"":""chao"",""d"":11,""p"":0.001,""q"":361,""r"":33}"
 100000000,         1,         0, 24798.5,internal_correlated,2afacfdf156eb7af60c4f6cc57d20fd57baa87041d2ad42154c248fa8fdfe959,"{""b"":""X"",""c"":""chao"",""d"":11,""p"":0.0002,""q"":361,""r"":33}"
 100000000,         0,         0, 59246.1,internal_correlated,2a914e2f5cc56dfc7cb23fd93677ef9817531967bc2dd1e079744328237c6b15,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.0001,""q"":673,""r"":45}"
 100000000,        10,         0, 28941.9,internal_correlated,882aba7c368423e678756f2f2a8f76fd70dd4ffa9c9c44ea7826d6c4ec7b96e5,"{""b"":""X"",""c"":""chao"",""d"":11,""p"":0.0003,""q"":361,""r"":33}"
     20128,     10133,         0,   420.5,internal_correlated,5bf21173f22931f769adf2474c386a8dfebf02df8e03f2d249e30efe1bd3ab75,"{""b"":""X"",""c"":""chao"",""d"":11,""p"":0.01,""q"":361,""r"":33}"
 100000000,         0,         0, 49634.0,internal_correlated,457f09a662bccdcf70f73a12debe5f71a82f24f41c78ee559cc2db27805758b3,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.0002,""q"":505,""r"":39}"
 100000000,        57,         0, 53683.4,internal_correlated,ff4cd081e3947e12a05dda21959d1fdb9f1014a51efd25709e5b5ab13596e9b5,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.0005,""q"":505,""r"":39}"
     20178,     10123,         0,   372.0,internal_correlated,2c53f613ba64a3402042a4668a95721d56cd0a893a8faff049ab7029c4cb0827,"{""b"":""X"",""c"":""chao"",""d"":11,""p"":0.008,""q"":361,""r"":33}"
 100000000,         0,         0, 27598.5,internal_correlated,a80e5105b7aad995a242d7a8835c9ca63ac0b3bead5d3b0e986a784976e0a61e,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.0001,""q"":505,""r"":39}"
 100000000,         1,         0, 53222.4,internal_correlated,81d4779bacb3fc0de3c99ddd28cdff6f1284e2a30e0058a518323ca361031bfb,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.0003,""q"":505,""r"":39}"
     20737,     10351,         0,   512.8,internal_correlated,ebd5fd51ff1c2267dbd8a1d7df3403dcfb7039d08a4fa6fed6307e8689c2088e,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.004,""q"":505,""r"":39}"
    245075,     10026,         0,  1760.9,internal_correlated,b07bbf9e824aaa35398ee75394b35ceb8b2406b5a91fe5a424758e44380944ab,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.002,""q"":505,""r"":39}"
     20119,     10194,         0,   769.2,internal_correlated,dda8ee5150f05fb8b1f851617ba350aa3dfa8fdb20f069744e0879281d8643a7,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.006,""q"":505,""r"":39}"
 100000000,      2674,         0,103909.5,internal_correlated,ce534b331129c9a0ab24e505d807fe6ec22f57108fae6da33bb0fb4c2bf86cf8,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.0008,""q"":505,""r"":39}"
     27984,     10080,         0,   462.6,internal_correlated,2ee08ffeddc805be6833ad4b3af4450f54ff092707afcefa4f5b33cc3470e6f1,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.003,""q"":505,""r"":39}"
  60789194,     10022,         0, 94358.2,internal_correlated,13787b81894468c7b1405d0e130967590373464f40f805cbbef90a6c21958ff8,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.001,""q"":505,""r"":39}"
 100000000,         0,         0, 80635.6,internal_correlated,e56a2f9478e802521046fbfd3b3e87cd8157b2a02022de78c3261355f6cf0a2d,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.0003,""q"":673,""r"":45}"
     20098,     10000,         0,   825.7,internal_correlated,7431cac8d99ccaf5630cb5f7ae4344f0c0e557a938baba2a99b167bac58cab0a,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.007,""q"":505,""r"":39}"
     19896,     10003,         0,   621.5,internal_correlated,2ab9a4f02fe385e85dc22f338cd1f3044444e29bbdb9f850631b895aef04b73e,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.005,""q"":505,""r"":39}"
 100000000,       642,         0,196824.5,internal_correlated,17eb0c6e1dde54bb8e79d8d4d3100674dd6e1d86a33b121744606089b8e91fba,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.0008,""q"":673,""r"":45}"
 100000000,      5485,         0,294525.3,internal_correlated,66a8e68acd04de49418259d43c88dc7c0556c18b9708257f76d8d9bf9f5b3ae9,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.001,""q"":673,""r"":45}"
     20142,     10006,         0,   949.9,internal_correlated,4aae38ea5323279017fe1d79a004b1d6cf74a2ff41181e4b66581df5045086a3,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.008,""q"":505,""r"":39}"
     20058,     10056,         0,  1035.4,internal_correlated,55e0859f50970ca0aed089cd081e967a8ced608e54f7daddc250993870229f78,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.009,""q"":505,""r"":39}"
     19713,     10001,         0,  1120.8,internal_correlated,df46f90f0fd092554dcc8d39bd3f817251a05cbc924ac61d6cbd89e7ae8ba2aa,"{""b"":""X"",""c"":""chao"",""d"":13,""p"":0.01,""q"":505,""r"":39}"
 100000000,         0,         0, 79458.5,internal_correlated,b5fe3c13814b009c7bed315e5987326620144cb21df466c3b037d89344c512cb,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.0002,""q"":673,""r"":45}"
 100000000,         7,         0, 97716.9,internal_correlated,bf0315e799652ba85ff027a72a15634667be3a2e20061cfd6a4c4c8859d3cfe3,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.0005,""q"":673,""r"":45}"
    298565,     10141,         0,  4344.3,internal_correlated,3041a040e4f61bb777562818652c5b8b847ce293a6eee78055b6406d80a43f09,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.002,""q"":673,""r"":45}"
     25681,     10040,         0,   919.5,internal_correlated,1821801710d820cbc23983e7d9ffb195d6e4fcbe9ae45e0ea90f7a290237c297,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.003,""q"":673,""r"":45}"
     20648,     10281,         0,  1126.4,internal_correlated,c90aab55287c0e5eade200ea74c6b8d986f054af728444faacb4ba0567e593d4,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.004,""q"":673,""r"":45}"
     20773,     10316,         0,  1422.3,internal_correlated,632418c3fca812a98aa9acbf30dbfdd1ec11d6b139bcde1c3634d6f4f2b730af,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.005,""q"":673,""r"":45}"
 100000000,         0,         0, 95708.3,internal_correlated,cc6611a4ba45ac6b07faa716ee50ebdbabe00d26388e5d608d7b327670081198,"{""b"":""X"",""c"":""chao"",""d"":17,""p"":0.0001,""q"":865,""r"":51}"
 100000000,         0,         0,119317.1,internal_correlated,97c1f65925bf82d04869ccc2cf01c3a7f51b61dc328a24fcb264e761b23fe56d,"{""b"":""X"",""c"":""chao"",""d"":17,""p"":0.0003,""q"":865,""r"":51}"
     20192,     10128,         0,  1624.2,internal_correlated,e20904555d285b4d01bd3bcc2ad712949c199aee3a15d56cfafd5d1296613e94,"{""b"":""X"",""c"":""chao"",""d"":15,""p"":0.006,""q"":673,""r"":45}"
 100000000,         0,         0,162838.9,internal_correlated,e92fa724e4102a2fc72d86df4ddda24c02eb80420128dcdbdc13fba1bdaa3c2f,"{""b"":""X"",""c"":""chao"",""d"":17,""p"":0.0005,""q"":865,""r"":51}"
